Deal ID,Deal ID,X,Y,Current size under contract,Negotiation status,year,Operating company: Classification,25th percentile,,Buffer,km2,r,n,Grados,,,,,,Deal ID,Deal ID,X,Y,Current size under contract,Negotiation status,year,Operating company: Classification
,,,,,,,,,,,,,,,,,,,,9595,9595,-39.0328,-67.58922,7306,2019-10-28#current#Concluded (Contract signed),2019,Private company
,,,,,,,,,,,,,,,,,,,,9602,9602,-26.98018,-65.92398,74190,2022#current#Concluded (Contract signed),2022,Private company
,,,,,,,,,,,,,,,,,,,,9604,9604,-25.94793,-67.5585,62317,2012#current#Concluded (Contract signed),2012,Private company
,,,,,,,,,,,,,,,,,,,,9625,9625,-27.8196,-68.25407,13978,2017-09-15#current#Concluded (Contract signed),2017,Private company
,,,,,,,,,,,,,,,,,,,,9628,9628,-27.12101,-67.0178,8854,2006#current#Concluded (Contract signed),2006,Private company
,,,,,,,,,,,,,,,,,,,,9633,9633,-26.78014,-67.8304,12137,2022#current#Concluded (Contract signed),2022,Private company
,,,,,,,,,,,,,,,,,,,,9636,9636,-25.29608,-66.73449,4900,2022#current#Concluded (Contract signed),2022,Private company
,,,,,,,,,,,,,,,,,,,,9644,9644,-28.05197,-68.19138,5152,2015-12-29#current#Concluded (Contract signed),2015,State-/government (owned) company
,,,,,,,,,,,,,,,,,,,,9645,9645,-27.60479,-68.43364,47840,2019#current#Concluded (Contract signed),2019,Private company
,,,,,,,,,,,,,,,,,,,,9646,9646,-27.74575,-67.78101,6174,2015-03-27#current#Concluded (Contract signed),2015,Private company
,,,,,,,,,,,,,,,,,,,,9648,9648,-27.12058,-66.96665,8975,2012#current#Concluded (Contract signed),2012,Private company
,,,,,,,,,,,,,,,,,,,,9650,9650,-25.72323,-66.94864,31374,2003#current#Concluded (Contract signed),2003,Private company
,,,,,,,,,,,,,,,,,,,,9655,9655,-27.19025,-66.40448,6345,2019-09-13#current#Concluded (Contract signed),2019,Private company
,,,,,,,,,,,,,,,,,,,,9659,9659,-26.38268,-67.17725,7857,2005#current#Concluded (Contract signed),2005,Private company
,,,,,,,,,,,,,,,,,,,,9660,9660,-27.27865,-66.8577,44819,2005#current#Concluded (Contract signed),2005,Private company
,,,,,,,,,,,,,,,,,,,,10025,10025,-38.61101,-62.70789,12351,2021#current#Concluded (Contract signed),2021,Private company
,,,,,,,,,,,,,,,,,,,,10067,10067,-35.79416,-70.141,5875,2011#current#Concluded (Contract signed),2011,Private company
,,,,,,,,,,,,,,,,,,,,10297,10297,-34.50666,-62.33305,4154,2011#current#Concluded (Contract signed),2011,Private company
,,,,,,,,,,,,,,,,,,,,10299,10299,-31.84313,-65.43501,10021,2002#current#Concluded (Contract signed),2002,Private company
,,,,,,,,,,,,,,,,,,,,10308,10308,-34.18387,-62.05208,8444,2005#current#Concluded (Contract signed),2005,Private company
,,,,,,,,,,,,,,,,,,,,10311,10311,-28.98353,-61.57705,32804,2021#current#Concluded (Contract signed),2021,Private company
,,,,,,,,,,,,,,,,,,,,11311,11311,-26.93886,-68.12172,17583,2018#current#Concluded (Contract signed),2018,Private company
,,,,,,,,,,,,,,,,,,,,11325,11325,-25.029506,-67.873539,27500,2020#current#Concluded (Contract signed),2020,Stock-exchange listed company
,,,,,,,,,,,,,,,,,,,,11346,11346,-24.78576,-67.18945,4864,2025-02-21#current#Concluded (Contract signed),2025,Private company
