Deal ID,Deal ID,X,Y,Current size under contract (ha),Deal ID,Negotiation status,year,Operating company: Classification,,,,Buffer,km2,r,n
5334,5334,-25.24025,-64.03856,5040,5334,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
5335,5335,-25.11728,-64.12473,14096,5335,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
5336,5336,-25.49927,-63.53393,25456,5336,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
5337,5337,-25.33502,-64.0203,1122,5337,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5529,5529,-25.9833,-58.1833,24800,5529,2003#current#Concluded (Contract signed),2003,Private company,,,,,,,
5612,5612,-25.11728,-64.12473,5460,5612,2003#current#Concluded (Contract signed),2003,Private company,,,,,,,
5655,5655,-24.57679,-63.92596,6410,5655,2016#current#Concluded (Contract signed),2016,Individual entrepreneur,,,,,,,
5656,5656,-25.11737,-64.28319,1224,5656,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5657,5657,-25.27849,-63.95701,11993,5657,2000#current#Concluded (Contract signed),2000,Private company,,,,,,,
5658,5658,-25.34054,-64.79829,6065,5658,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5673,5673,-25.03636,-63.90983,527,5673,2012#current#Concluded (Contract signed),2012,Private company,,,,,,,
5674,5674,-24.48742,-63.65001,5812,5674,2002#current#Concluded (Contract signed),2002,Private company,,,,,,,
5675,5675,-24.51321,-63.86289,2266,5675,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5676,5676,-24.29888,-63.8302,9201,5676,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
5677,5677,-24.52072,-63.69563,18768,5677,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
5678,5678,-24.85363,-64.17949,6851,5678,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5679,5679,-25.31496,-64.91015,411,5679,2015#current#Concluded (Contract signed),2015,Private company,,,,,,,
5681,5681,-22.5961,-63.81159,799,5681,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
5682,5682,-22.93417,-63.85888,8933,5682,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5683,5683,-22.93417,-63.85888,3806,5683,2001#current#Concluded (Contract signed),2001,Private company,,,,,,,
5684,5684,-22.21197,-63.5987,16962,5684,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
5685,5685,-22.38333,-63.8,2508,5685,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
5686,5686,-23.21202,-63.56715,6517,5686,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
5687,5687,-22.5961,-63.81159,3944,5687,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
5688,5688,-22.28016,-63.62557,903,5688,2016##Concluded (Contract signed)|2022##Concluded (Change of ownership)|2022#current#Concluded (Contract signed),2016,Private company,,,,,,,
5690,5690,-22.39781,-63.47728,4017,5690,2014#current#Concluded (Contract signed),2014,Private company,,,,,,,
5691,5691,-22.76045,-63.54661,3990,5691,2000#current#Concluded (Contract signed),2000,Private company,,,,,,,
5692,5692,-22.83955,-63.672,2847,5692,2016#current#Concluded (Contract signed),2016,Private company,,,,,,,
5693,5693,-22.93417,-63.85888,16584,5693,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
5694,5694,-22.85234,-63.58031,6685,5694,2016#current#Concluded (Contract signed),2016,Private company,,,,,,,
5695,5695,-22.5961,-63.81159,970,5695,2003#current#Concluded (Contract signed),2003,Private company,,,,,,,
5745,5745,-23.90836,-64.06213,3119,5745,2009#current#Concluded (Contract signed),2009,Private company,,,,,,,
5746,5746,-22.73612,-64.35427,1928,5746,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
5747,5747,-23.46876,-62.88759,3378,5747,2006#current#Concluded (Contract signed),2006,Individual entrepreneur,,,,,,,
5748,5748,-24.11667,-62.46667,21338,5748,2007#current#Concluded (Contract signed),2007,Individual entrepreneur,,,,,,,
5749,5749,-23.37425,-64.33057,1689,5749,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5750,5750,-24.11667,-62.46667,2899,5750,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5751,5751,-24.7812,-63.19312,235921,5751,2002#current#Concluded (Contract signed),2002,Private company,,,,,,,
5752,5752,-23.46876,-62.88759,3553,5752,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
5753,5753,-23.46876,-62.88759,486,5753,2012#current#Concluded (Contract signed),2012,Private company,,,,,,,
5756,5756,-23.57429,-64.10957,1794,5756,2000#current#Concluded (Contract signed),2000,Private company,,,,,,,
5757,5757,-22.88455,-63.24455,6254,5757,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5758,5758,-24.26667,-62.73333,4973,5758,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
5759,5759,-23.57429,-64.10957,300,5759,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
5760,5760,-23.90836,-64.06213,3769,5760,2003#current#Concluded (Contract signed),2003,Private company,,,,,,,
5761,5761,-23.90836,-64.06213,3983,5761,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
5762,5762,-23.90836,-64.06213,1165,5762,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5763,5763,-23.90836,-64.06213,4599,5763,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5764,5764,-23.23254,-63.05737,15180,5764,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
5765,5765,-23.8202,-64.06163,1652,5765,2002#current#Concluded (Contract signed),2002,Private company,,,,,,,
5766,5766,-23.95,-63.3,4216,5766,2014#current#Concluded (Contract signed),2014,Private company,,,,,,,
5767,5767,-23.23254,-63.05737,10624,5767,2015#current#Concluded (Contract signed),2015,Private company,,,,,,,
5768,5768,-23.90836,-64.06213,28188,5768,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5769,5769,-23.37164,-63.0961,3306,5769,2014#current#Concluded (Contract signed),2014,Private company,,,,,,,
5771,5771,-23.90836,-64.06213,7414,5771,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5772,5772,-24.2,-62.73333,2072,5772,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5773,5773,-23.57429,-64.10957,699,5773,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5774,5774,-23.23254,-63.05737,1824,5774,2016#current#Concluded (Contract signed),2016,Private company,,,,,,,
5775,5775,-25.46916,-64.93557,2013,5775,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5776,5776,-23.12838,-64.3217,4191,5776,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
5777,5777,-25.33502,-64.0203,2343,5777,2013#current#Concluded (Contract signed),2013,Private company,,,,,,,
5778,5778,-25.40911,-64.05944,1769,5778,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
5779,5779,-25.11052,-64.27571,1234,5779,2010#current#Concluded (Contract signed),2010,Private company,,,,,,,
5780,5780,-25.170917,-64.298431,6073,5780,2003#current#Concluded (Contract signed),2003,Private company,,,,,,,
5781,5781,-25.49422,-64.97213,206,5781,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
5782,5782,-25.49422,-64.97213,2228,5782,2006#current#Concluded (Contract signed),2006,Private company,,,,,,,
5783,5783,-25.33502,-64.0203,1311,5783,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
5785,5785,-25.33502,-64.0203,2545,5785,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5786,5786,-25.333772,-64.579215,2200,5786,2008#current#Concluded (Contract signed),2008,Private company,,,,,,,
5787,5787,-25.758252,-64.333064,2210,5787,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5789,5789,-25.79865,-64.96765,759,5789,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
5790,5790,-25.33502,-64.0203,1257,5790,2011#current#Concluded (Contract signed),2011,Private company,,,,,,,
5791,5791,-23.038663,-64.346664,3817,5791,2004##Concluded (Contract signed)|2022##Concluded (Change of ownership)|2022#current#Concluded (Contract signed),2004,Private company,,,,,,,
5792,5792,-23.43188,-64.35333,299,5792,2005#current#Concluded (Contract signed),2005,Private company,,,,,,,
5793,5793,-23.470338,-64.375978,725,5793,2009#current#Concluded (Contract signed),2009,Private company,,,,,,,
5794,5794,-23.416249,-64.323416,502,5794,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
