Deal ID,Deal ID,X,Y,Current size under contract (ha),Deal ID,Negotiation status,year,Operating company: Classification,,,,Buffer,km2,r,n
10357,10357,-25.27922,-64.07694,2144,10357,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
10383,10383,-27.4812,-64.1458,800,10383,2003#current#Concluded (Contract signed),2003,Individual entrepreneur,,,,,,,
10401,10401,-29.3337,-63.8091,2000,10401,2002#current#Concluded (Contract signed),2002,Individual entrepreneur,,,,,,,
10475,10475,-24.139133,-66.896081,350,10475,2017#current#Concluded (Contract signed),2017,Private company,,,,,,,
10483,10483,-45.65134,-67.75389,2000,10483,2005-09-23#current#Concluded (Contract signed),2005,Semi state-owned company,,,,,,,
10551,10551,-38.88427,-66.01469,73769,10551,2007#current#Concluded (Contract signed),2007,Private company,,,,,,,
10644,10644,-23.937857,-63.75615,4892,10644,2023-09-13#current#Concluded (Contract signed),2023,Private company,,,,,,,
10853,10853,-22.927787,-64.359181,1320,10853,2022#current#Concluded (Contract signed),2022,Private company,,,,,,,
11059,11059,-24.07277,-67.21719,2395,11059,2022-03-16#current#Concluded (Contract signed),2022,Private company,,,,,,,
11145,11145,-23.50225,-64.51591,46947,11145,2021#current#Concluded (Contract signed),2021,Private company,,,,,,,
11149,11149,-28.12636,-56.15009,3336,11149,2022-06##Concluded (Oral Agreement)|2022-09#current#Concluded (Contract signed),2022,Private company,,,,,,,
11152,11152,-28.08278,-55.74904,987,11152,2004#current#Concluded (Contract signed),2004,Private company,,,,,,,
,11152,-27.64704,-56.47244,,,,,,,,,,,,
11309,11309,-26.0571,-67.934,4000,11309,2010#current#Concluded (Contract signed),2010,,,,,,,,
11326,11326,-27.675486,-68.148032,16310,11326,2023#current#Concluded (Contract signed),2023,State-/government (owned) company,,,,,,,
11330,11330,-25.752713,-67.495716,8427,11330,2022#current#Concluded (Contract signed),2022,State-/government (owned) company,,,,,,,
11331,11331,-26.950251,-67.029475,443,11331,2022#current#Concluded (Contract signed),2022,State-/government (owned) company,,,,,,,
11332,11332,-27.220173,-68.613667,3656,11332,2022#current#Concluded (Contract signed),2022,State-/government (owned) company,,,,,,,
11333,11333,-28.577699,-65.278629,430,11333,2022#current#Concluded (Contract signed),2022,State-/government (owned) company,,,,,,,
11334,11334,-28.249948,-65.500974,4005,11334,2023#current#Concluded (Contract signed),2023,State-/government (owned) company,,,,,,,
11336,11336,-26.63718,-68.089094,3028,11336,2023#current#Concluded (Contract signed),2023,State-/government (owned) company,,,,,,,
11337,11337,-25.63365,-67.23819,4024,11337,2023#current#Concluded (Contract signed),2023,State-/government (owned) company,,,,,,,
11338,11338,-25.681152,-66.773795,4213,11338,2022#current#Concluded (Contract signed),2022,State-/government (owned) company,,,,,,,
11356,11356,-28.321912,-56.119848,2531,11356,2023-04-21#current#Concluded (Contract signed),2023,Private company,,,,,,,
11380,11380,-23.72525,-66.81108,3980,11380,2024#current#Concluded (Contract signed),2024,Private company,,,,,,,
11385,11385,-23.03333,-66.4,1752,11385,2022#current#Concluded (Contract signed),2022,Private company,,,,,,,
